matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,spECK,cnnz
1138_bus,1138,Y,0.2005,0.125,0.134,merge3,0.23,0.376,0.088,11142
494_bus,494,Y,0.4426,0.115,0.102,merge3,0.245,0.354,0.075,4062
662_bus,662,Y,0.3578,0.101,0.113,merge3,0.232,0.345,0.086,6480
685_bus,685,Y,0.4192,0.114,0.116,merge3,0.231,0.346,0.084,9337
arc130,130,N,7.5858,0.151,0.286,hash,0.386,0.455,0.08,15631
ash292,292,Y,1.466,0.124,0.14,merge3,0.226,0.347,0.076,6042
ash85,85,Y,4.2076,0.091,0.089,merge3,0.234,0.342,0.077,1317
bcspwr01,39,Y,5.5884,0.083,0.09,merge3,0.198,0.375,0.077,275
bcspwr02,49,Y,4.4981,0.088,0.093,merge3,0.203,0.333,0.077,403
bcspwr03,118,Y,2.133,0.098,0.103,merge3,0.216,0.242,0.082,1270
bcspwr04,274,Y,1.2561,0.103,0.109,merge3,0.226,0.335,0.068,4982
bcspwr05,443,Y,0.5264,0.101,0.096,merge3,0.23,0.329,0.086,4249
bcspwr06,1454,Y,0.1597,0.122,0.127,merge3,0.235,0.349,0.087,14110
bcspwr07,1612,Y,0.1431,0.149,0.154,merge3,0.226,0.358,0.12,15684
bcspwr08,1624,Y,0.1455,0.13,0.14,merge3,0.234,0.375,0.09,16916
bcspwr09,1723,Y,0.1387,0.117,0.118,merge3,0.244,0.332,0.077,18485
bcspwr10,5300,Y,0.0483,0.157,0.141,merge3,0.25,1.136,0.096,60498
bcsstk01,48,Y,9.7222,0.104,0.099,merge3,0.326,0.325,0.077,1292
bcsstk02,66,Y,50.7576,0.116,0.31,hash,0.901,0.734,0.085,4356
bcsstk03,112,Y,2.9974,0.088,0.097,merge3,0.187,0.319,0.068,1072
bcsstk04,132,Y,10.8471,0.112,0.132,merge3,0.534,0.415,0.086,11968
bcsstk05,153,Y,5.5022,0.108,0.112,merge3,0.367,0.351,0.08,7245
bcsstk06,420,Y,2.3469,0.131,0.14,merge3,0.386,0.401,0.089,23660
bcsstk07,420,Y,2.3469,0.132,0.126,merge3,0.359,0.415,0.087,23660
bcsstk08,1074,Y,0.6083,1.212,0.712,hash,0.442,1.02,0.14,305612
bcsstk09,1083,Y,0.8321,0.159,0.171,merge3,0.381,0.376,0.092,71289
bcsstk10,1086,Y,0.9817,0.186,0.176,merge3,0.597,0.397,0.095,54504
bcsstk11,1473,Y,0.823,0.204,0.192,merge3,0.622,0.734,0.099,94187
bcsstk12,1473,Y,0.823,0.197,0.194,merge3,0.557,0.668,0.106,94187
bcsstk13,2003,Y,1.0704,0.823,0.911,hash,0.747,1.204,0.191,396773
bcsstk14,1806,Y,1.0004,0.366,0.51,hash,0.622,0.572,0.131,195654
bcsstk15,3948,Y,0.3906,0.535,0.398,hash,0.449,0.801,0.176,527688
bcsstk16,4884,Y,0.6189,1.647,0.586,hash,0.881,1.591,0.416,1038782
bcsstk17,10974,Y,0.1825,1.644,0.689,hash,0.861,1.886,0.534,1406936
bcsstk18,11948,Y,0.0564,0.601,0.473,hash,0.466,1.356,0.198,713208
bcsstk19,817,Y,0.5745,0.109,0.105,merge3,0.359,0.413,0.07,18305
bcsstk20,485,Y,0.7695,0.103,0.107,merge3,0.232,0.341,0.084,5545
bcsstk21,3600,Y,0.1165,0.175,0.181,merge3,0.231,0.513,0.095,93072
bcsstk22,138,Y,2.1897,0.103,0.108,merge3,0.223,0.319,0.075,1552
bcsstk23,3134,Y,0.2459,0.276,0.266,merge3,0.379,0.59,0.104,220632
bcsstk24,3562,Y,0.6442,0.562,0.407,hash,0.694,1.104,0.224,446474
bcsstk25,15439,Y,0.0561,0.957,0.556,hash,0.496,1.623,0.339,1168919
bcsstk26,1922,Y,0.4366,0.189,0.185,merge3,0.384,0.687,0.104,92530
bcsstk27,1224,Y,1.914,0.375,0.488,hash,0.566,0.788,0.128,138106
bcsstk28,4410,Y,0.5744,0.855,0.508,hash,0.784,1.517,0.337,596072
bcsstk29,13992,Y,0.1618,1.896,0.845,hash,0.984,1.862,0.732,1965686
bcsstk30,28924,Y,0.1239,16.712,2.836,hash,2.514,5.011,3.443,8946070
bcsstk31,35588,Y,0.048,4.169,1.353,hash,1.36,2.798,1.229,4713580
bcsstk32,44609,Y,0.0517,7.62,2.044,hash,1.916,3.855,2.359,6819653
bcsstk33,8738,Y,0.3933,4.044,1.043,hash,1.674,2.107,0.899,2569536
bcsstm01,48,Y,2.0833,0.074,0.081,merge3,0.178,0.327,0.069,48
bcsstm02,66,Y,1.5152,0.067,0.079,merge3,0.185,0.292,0.067,66
bcsstm03,112,Y,0.8929,0.083,0.074,merge3,0.164,0.288,0.068,112
bcsstm04,132,Y,0.7576,0.084,0.085,merge3,0.185,0.309,0.069,132
